Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
1143.5953000000009;36776151;654783;48;
1143.6287000000011;36042693;647643;48;
1145.775999999998;36697599;655516;48;
1144.2676000000029;35849945;647398;48;
1146.4529000000002;37220730;657225;48;
1141.3783000000003;35865997;645872;48;
1147.4624000000003;36577665;656248;48;
1140.9506000000001;35755585;645445;48;
1148.4690999999984;36992032;658202;48;
1142.3546999999999;35824615;647154;48;
1151.2390999999989;37041714;659484;48;
1142.879499999999;36127959;647032;48;
1146.5513000000028;36910367;657102;48;
1145.2759000000005;36258879;648253;48;
1146.8826000000008;36979092;655393;48;
1142.9169000000002;35886566;646788;48;
1145.6794999999984;37388393;655821;47.5;
1141.7073000000019;35937225;645994;48;
1147.9338999999964;36953213;658141;47.5;
1142.5434000000023;36035492;648558;48;
1149.4277000000002;37041715;657713;48;
1141.571600000003;35833832;645140;48;
1148.649599999997;36683927;657957;48;
1142.3375000000015;35855743;647459;48;
1146.0930000000008;36940091;655577;48;
1142.299199999994;35828521;646666;48;
1149.3607000000047;37071621;657408;47.5;
1142.1900999999998;36086089;646116;48;
1148.3467000000019;36949368;657164;47.5;
1141.6852;35726593;645262;48;
1149.900499999996;37153591;664793;48;
1139.2998000000007;35223299;636290;48;
1151.9218000000037;37746119;669188;48;
1139.6823000000004;35167573;635191;48;
1154.4035999999978;37870814;671202;48;
1137.2623999999996;34877352;632994;48;
1155.7520000000004;38002344;671690;48;
1132.5398999999961;35005037;630980;47.5;
1157.9354999999996;38096094;672423;47.5;
1132.4772000000012;34927034;630186;48;
1155.067799999997;37990199;671507;48;
1132.0589000000036;34622347;630491;48;
1159.0126999999993;38210168;673399;48;
1133.379399999998;34897554;631102;48;
1155.5305000000008;38225977;672666;48;
1133.0207999999984;34911287;630736;47.5;
1158.3315000000002;38019251;673460;48;
1132.6111999999994;34750277;630187;48;
1155.224900000001;37968287;670653;48;
1134.5357000000076;35429474;640623;48.5;
1154.8705000000045;37095792;662718;47.5;
1138.6345000000001;36672391;648741;48;
1149.1647000000085;36426909;654234;48;
1141.142599999992;36477873;653014;48;
1150.2599000000046;36146758;651060;48;
1145.0255000000034;36762113;656432;48;
1148.227899999998;36284514;649840;48;
1146.3166000000056;37159206;654783;48;
1145.5457999999926;36314544;649046;48;
1145.4842999999964;36818143;654967;47.5;
1141.5819999999949;36079864;645323;48;
1149.084600000002;36938138;656736;48;
1145.251099999994;36048980;648314;47.5;
1146.9930000000022;37353420;657285;47.5;
1141.855899999995;35956634;645506;48;
1148.4195000000036;37145596;656432;48;
1142.6359999999986;35973358;647154;48;
1148.8187999999936;37012967;658690;47.5;
1142.4279999999999;36019683;647337;48;
1147.437699999995;36710660;655821;48;
1142.063399999999;35884551;645446;48;
1147.5506999999925;37145168;658812;48;
1142.4087;36034026;646605;48;
1148.094100000002;36975980;656859;48;
1142.6533999999956;35782440;645872;48;
1146.5060999999987;37054227;656249;48;
1142.2262000000046;36070159;646116;47.5;
1149.3241999999882;37003994;657591;48;
1141.857400000008;36056365;646238;48;
1145.3304000000062;37084073;655516;48;
1142.0672999999952;35880341;646055;48;
1151.726999999999;37330165;660216;48;
1142.3340999999928;36114471;646666;48;
1145.8006000000023;36950345;655516;48;
1142.276899999997;36123198;646360;47.5;
1149.601999999999;37495998;664793;49.5;
